Poland,25.5k,25.8k,26.6k,27.8k,28.7k,30.1k
North Korea,2060,2070,2080,2050,2030,1950
Portugal,30.2k,30k,30.4k,31.1k,31.8k,33k
Paraguay,10.5k,11.2k,11.6k,11.8k,12.2k,12.6k
Palestine,5990,6120,5970,6050,6440,6400
Qatar,96.3k,95.5k,95.6k,96k,95.6k,91.7k
Romania,21.3k,22.2k,23.1k,23.9k,25.1k,27.1k
Russia,25.9k,26.3k,26.1k,25.5k,25.5k,25.9k
Rwanda,1680,1720,1780,1890,1950,1980
Saudi Arabia,48k,47.8k,48.2k,48.9k,48.6k,47.3k
Sudan,4580,4560,4650,4630,4680,4600
Senegal,2790,2780,2870,2970,3070,3200
Singapore,83.1k,85.7k,88k,89.5k,91.3k,95.3k
Solomon Islands,2530,2590,2550,2520,2600,2660
Sierra Leone,1650,1940,1990,1540,1600,1630
El Salvador,7760,7890,7990,8140,8310,8450
San Marino,59.7k,58.4k,57.3k,58.1k,59k,58.9k
Somalia,867,877,918,1030,1080,1080
Serbia,14.9k,15.4k,15.2k,15.6k,16.2k,16.6k
South Sudan,2200,2430,2460,2160,1900,2090
Sao Tome and Principe,3460,3560,3720,3790,3880,3950
Suriname,20k,20.4k,20.2k,19.3k,18.2k,18.3k
Slovak Republic,26.5k,26.6k,27.3k,28.7k,29.2k,30.1k
Slovenia,32.6k,32.2k,33.1k,33.8k,34.9k,36.5k
Sweden,48.3k,48.5k,49.3k,50.9k,51.3k,51.9k
Eswatini,7930,8180,8190,8310,8320,8410
Seychelles,23.3k,24.2k,24.9k,25.6k,26.4k,27.3k
Syria,5610,4790,4110,3540,3590,3770
Chad,1770,1800,1870,1860,1690,1590
Togo,1750,1810,1860,1920,1980,2010
Thailand,15.4k,15.8k,15.9k,16.3k,16.8k,17.4k
Tajikistan,2640,2770,2880,2980,3110,3250
Turkmenistan,10.6k,11.5k,12.4k,13k,13.6k,14.2k
Timor-Leste,3140,3180,3270,3300,3340,3180
Tonga,5630,5700,5860,5940,6310,6470
Trinidad and Tobago,28.8k,29.2k,28.8k,29.1k,27.3k,26.3k
Tunisia,10.8k,10.9k,11.1k,11.1k,11.1k,11.2k
Turkey,22.6k,24.1k,24.9k,26k,26.4k,27.9k
Tuvalu,3320,3440,3450,3720,3790,3900
Taiwan,45.6k,46.5k,48.2k,48.4k,49k,50.6k
Tanzania,2130,2210,2290,2350,2440,2530
Uganda,2000,2000,2040,2070,2090,2080
Ukraine,13k,13k,12.4k,11.2k,11.5k,11.9k
Uruguay,20.9k,21.8k,22.4k,22.4k,22.7k,23k
United States,55.6k,56.2k,57.2k,58.5k,59.1k,60.1k
Uzbekistan,5470,5780,6080,6400,6660,6840
St. Vincent and the Grenadines,11.5k,11.7k,11.8k,12k,12.2k,12.2k
Venezuela,21.6k,24.9k,23.6k,21.9k,17.7k,15k
Vietnam,5570,5820,6100,6440,6770,7160
Vanuatu,3050,2980,2990,2920,2970,3080
Samoa,5900,5830,5790,6000,6450,6490
Yemen,4740,4840,4710,3310,2910,2700
South Africa,13.9k,14.1k,14k,14k,13.9k,13.9k
Zambia,3340,3400,3450,3440,3470,3490
Zimbabwe,3680,3680,3700,3710,3680,3800
